Day Index,Pageviews,Unique Pageviews,Avg. Time on Page
10/1/17,0,0,00:00:00
10/2/17,0,0,00:00:00
10/3/17,0,0,00:00:00
10/4/17,0,0,00:00:00
10/5/17,0,0,00:00:00
10/6/17,0,0,00:00:00
10/7/17,0,0,00:00:00
10/8/17,0,0,00:00:00
10/9/17,0,0,00:00:00
10/10/17,0,0,00:00:00
10/11/17,0,0,00:00:00
10/12/17,0,0,00:00:00
10/13/17,0,0,00:00:00
10/14/17,0,0,00:00:00
10/15/17,0,0,00:00:00
10/16/17,19,16,00:12:17
10/17/17,6,6,00:00:13
10/18/17,46,8,00:01:15
10/19/17,12,7,00:07:11
10/20/17,29,7,00:02:45
10/21/17,0,0,00:00:00
10/22/17,4,3,00:00:38
10/23/17,0,0,00:00:00
10/24/17,0,0,00:00:00
10/25/17,0,0,00:00:00
10/26/17,0,0,00:00:00
10/27/17,0,0,00:00:00
10/28/17,0,0,00:00:00
10/29/17,0,0,00:00:00
10/30/17,0,0,00:00:00
10/31/17,0,0,00:00:00
11/1/17,0,0,00:00:00
11/2/17,0,0,00:00:00
11/3/17,0,0,00:00:00
11/4/17,6,6,00:00:00
11/5/17,0,0,00:00:00
11/6/17,0,0,00:00:00
11/7/17,2,1,00:00:09
11/8/17,0,0,00:00:00
11/9/17,0,0,00:00:00
11/10/17,0,0,00:00:00
11/11/17,0,0,00:00:00
11/12/17,0,0,00:00:00
11/13/17,0,0,00:00:00
11/14/17,0,0,00:00:00
11/15/17,0,0,00:00:00
11/16/17,1,1,00:00:00
11/17/17,0,0,00:00:00
11/18/17,0,0,00:00:00
11/19/17,0,0,00:00:00
11/20/17,0,0,00:00:00
11/21/17,0,0,00:00:00
11/22/17,4,2,00:08:12
11/23/17,0,0,00:00:00
11/24/17,0,0,00:00:00
11/25/17,0,0,00:00:00
11/26/17,5,3,00:08:07
11/27/17,0,0,00:00:00
11/28/17,0,0,00:00:00
11/29/17,0,0,00:00:00
11/30/17,0,0,00:00:00
12/1/17,0,0,00:00:00
12/2/17,0,0,00:00:00
12/3/17,0,0,00:00:00
12/4/17,0,0,00:00:00
12/5/17,0,0,00:00:00
12/6/17,0,0,00:00:00
12/7/17,0,0,00:00:00
12/8/17,0,0,00:00:00
12/9/17,0,0,00:00:00
12/10/17,0,0,00:00:00
12/11/17,0,0,00:00:00
12/12/17,0,0,00:00:00
12/13/17,0,0,00:00:00
12/14/17,0,0,00:00:00
12/15/17,0,0,00:00:00
12/16/17,0,0,00:00:00
12/17/17,0,0,00:00:00
12/18/17,1,1,00:00:00
12/19/17,0,0,00:00:00
12/20/17,0,0,00:00:00
12/21/17,2,2,00:00:12
12/22/17,0,0,00:00:00
12/23/17,0,0,00:00:00
12/24/17,0,0,00:00:00
12/25/17,0,0,00:00:00
12/26/17,0,0,00:00:00
12/27/17,0,0,00:00:00
12/28/17,0,0,00:00:00
12/29/17,0,0,00:00:00
12/30/17,0,0,00:00:00
12/31/17,0,0,00:00:00
1/1/18,0,0,00:00:00
1/2/18,0,0,00:00:00
1/3/18,0,0,00:00:00
1/4/18,0,0,00:00:00
1/5/18,0,0,00:00:00
1/6/18,0,0,00:00:00
1/7/18,0,0,00:00:00
1/8/18,0,0,00:00:00
1/9/18,0,0,00:00:00
1/10/18,0,0,00:00:00
1/11/18,1,1,00:00:13
1/12/18,0,0,00:00:00
1/13/18,0,0,00:00:00
1/14/18,0,0,00:00:00
1/15/18,0,0,00:00:00
1/16/18,0,0,00:00:00
1/17/18,1,1,00:00:00
1/18/18,0,0,00:00:00
1/19/18,0,0,00:00:00
1/20/18,0,0,00:00:00
1/21/18,2,1,00:00:22
1/22/18,0,0,00:00:00
1/23/18,0,0,00:00:00
1/24/18,0,0,00:00:00
1/25/18,0,0,00:00:00
1/26/18,0,0,00:00:00
1/27/18,0,0,00:00:00
1/28/18,0,0,00:00:00
1/29/18,0,0,00:00:00
1/30/18,0,0,00:00:00
1/31/18,0,0,00:00:00
2/1/18,0,0,00:00:00
2/2/18,0,0,00:00:00
2/3/18,1,1,00:03:47
2/4/18,0,0,00:00:00
2/5/18,0,0,00:00:00
2/6/18,0,0,00:00:00
2/7/18,0,0,00:00:00
2/8/18,0,0,00:00:00
2/9/18,0,0,00:00:00
2/10/18,1,1,00:00:00
2/11/18,0,0,00:00:00
2/12/18,0,0,00:00:00
2/13/18,0,0,00:00:00
2/14/18,0,0,00:00:00
2/15/18,0,0,00:00:00
2/16/18,0,0,00:00:00
2/17/18,1,1,00:00:00
2/18/18,1,1,00:00:00
2/19/18,0,0,00:00:00
2/20/18,1,1,00:00:00
2/21/18,0,0,00:00:00
2/22/18,0,0,00:00:00
2/23/18,0,0,00:00:00
2/24/18,1,1,00:00:00
2/25/18,0,0,00:00:00
2/26/18,0,0,00:00:00
2/27/18,1,1,00:00:00
2/28/18,0,0,00:00:00
3/1/18,0,0,00:00:00
3/2/18,0,0,00:00:00
3/3/18,0,0,00:00:00
3/4/18,0,0,00:00:00
3/5/18,0,0,00:00:00
3/6/18,0,0,00:00:00
3/7/18,0,0,00:00:00
3/8/18,0,0,00:00:00
3/9/18,0,0,00:00:00
3/10/18,0,0,00:00:00
3/11/18,0,0,00:00:00
3/12/18,0,0,00:00:00
3/13/18,1,1,00:00:00
3/14/18,0,0,00:00:00
3/15/18,0,0,00:00:00
3/16/18,0,0,00:00:00
3/17/18,0,0,00:00:00
3/18/18,0,0,00:00:00
3/19/18,0,0,00:00:00
3/20/18,1,1,00:00:00
3/21/18,0,0,00:00:00
3/22/18,0,0,00:00:00
3/23/18,0,0,00:00:00
3/24/18,0,0,00:00:00
3/25/18,0,0,00:00:00
3/26/18,0,0,00:00:00
3/27/18,0,0,00:00:00
3/28/18,0,0,00:00:00
3/29/18,0,0,00:00:00
3/30/18,0,0,00:00:00
3/31/18,0,0,00:00:00
4/1/18,0,0,00:00:00
4/2/18,0,0,00:00:00
4/3/18,0,0,00:00:00
4/4/18,0,0,00:00:00
4/5/18,0,0,00:00:00
4/6/18,0,0,00:00:00
4/7/18,0,0,00:00:00
4/8/18,0,0,00:00:00
4/9/18,0,0,00:00:00
4/10/18,0,0,00:00:00
4/11/18,0,0,00:00:00
4/12/18,0,0,00:00:00
4/13/18,0,0,00:00:00
4/14/18,0,0,00:00:00
4/15/18,0,0,00:00:00
4/16/18,0,0,00:00:00
4/17/18,0,0,00:00:00
4/18/18,0,0,00:00:00
4/19/18,0,0,00:00:00
4/20/18,0,0,00:00:00
4/21/18,0,0,00:00:00
4/22/18,1,1,00:00:00
4/23/18,0,0,00:00:00
4/24/18,0,0,00:00:00
4/25/18,0,0,00:00:00
